"use_case_id","use_case_name","description","dept_id","use_case_owner","submission_date","governance_status","pilot_ready","business_value_score","expected_benefit","ai_type","data_source"
"1","LLM Clinical Note Summarisation","Uses an LLM to summarise lengthy clinical notes into concise discharge summaries","1","Dr Sarah Khan","2025-09-15","Approved","Yes","9","Reduced admin time for clinicians","LLM","Electronic Health Records"
"2","Patient Triage Chatbot","AI chatbot to assess patient symptoms and recommend urgency level before arrival","1","Dr Amir Hussain","2025-10-01","Under Review","No","8","Faster patient triage","LLM","Patient Input Data"
"3","Readmission Risk Prediction","Predicts likelihood of patient readmission within 30 days of discharge","3",NULL,"2025-08-20","Paused","No","7","Reduced readmission rates","Predictive Model","Electronic Health Records"
"4","Medical Coding Assistant","Assists coders by suggesting ICD-10 codes based on clinical documentation","7","Rachel Dunn","2025-11-05","Approved","Yes","8","Faster and more accurate coding","LLM","Clinical Documentation"
"5","Appointment No Show Prediction","Predicts which patients are likely to miss appointments so staff can intervene","3","Dr Priya Sharma","2025-07-10","Approved","Yes","6","Reduced missed appointments","Predictive Model","Booking System Data"
"6","Diagnostic Image Support","AI assists radiologists by flagging potential abnormalities in X-rays and CT scans","2","Dr James Osei","2025-06-18","Under Review","No","9","Faster diagnosis and reduced missed findings","Computer Vision","Medical Imaging System"
"7","Staff Rota Optimisation","Automates shift scheduling to balance workload and reduce overtime","6",NULL,"2025-10-22","Under Review","No","5","Reduced overtime costs","Automation","Staff Rotas"
"8","Patient Feedback Sentiment Analysis","Analyses free text patient feedback to identify themes and sentiment trends","8","Aisha Begum","2025-09-30","Approved","Yes","6","Better understanding of patient concerns","NLP","Patient Surveys"
"9","Mental Health Crisis Text Detection","Detects urgent language in patient messages that may indicate a mental health crisis","4","Dr Liam Fletcher","2025-11-12","Paused","No","8","Earlier crisis intervention","NLP","Patient Messages"
"10","Bed Occupancy Forecasting","Predicts bed demand over the next 7 days to support capacity planning","5","Helen Bridges","2025-08-05","Approved","Yes","7","Better capacity planning","Predictive Model","Admissions Data"
"11","Automated Referral Letter Drafting","LLM generates draft referral letters from structured clinical data","3","Dr Priya Sharma","2025-12-01","Under Review","No","7","Reduced admin burden on GPs","LLM","Electronic Health Records"
"12","Theatre Utilisation Analysis","Analyses operating theatre usage patterns to reduce downtime","5",NULL,"2025-10-15","Under Review","No","6","Improved theatre efficiency","Automation","Theatre Booking System"
"13","Clinical Trial Matching","Matches eligible patients to active clinical trials based on their records","3",NULL,"2025-11-20","Paused","No","7","Increased trial recruitment","Predictive Model","Electronic Health Records"
"14","Invoice Anomaly Detection","Flags unusual patterns in supplier invoices to detect potential fraud or errors","7","Rachel Dunn","2025-09-08","Approved","Yes","5","Reduced financial errors","Automation","Finance System"
"15","Staff Wellbeing Survey Analysis","NLP analysis of staff survey responses to detect burnout and morale trends","6","Mark Gallagher","2025-10-30","Approved","Yes","5","Earlier intervention on staff wellbeing","NLP","Staff Surveys"
"16","Prescription Error Detection","Flags potential prescribing errors by cross-referencing medications and patient history","1","Dr Sarah Khan","2025-07-25","Under Review","No","9","Reduced medication errors","Predictive Model","Prescribing System"
"17","Patient Flow Dashboard Automation","Automates the daily patient flow report sent to operational managers","5","Helen Bridges","2025-08-18","Approved","Yes","6","Faster daily reporting","Automation","Admissions Data"
"18","Radiology Report Prioritisation","AI ranks radiology reports by clinical urgency so critical findings are reviewed first","2",NULL,"2025-12-10","Under Review","No","8","Faster review of urgent findings","Computer Vision","Medical Imaging System"
"19","Duplicate Patient Record Detection","Identifies potential duplicate patient records across systems","5","Helen Bridges","2025-06-30","Approved","Yes","4","Improved data quality","Automation","Patient Administration System"
"20","GP Demand Forecasting","Predicts GP appointment demand by day of week and season to support workforce planning","3","Dr Priya Sharma","2025-09-22","Approved","Yes","6","Better workforce planning","Predictive Model","Booking System Data"
